GCF_000001985.1	Talaromyces marneffei ATCC 18224
GCF_000467065.1	Pseudomonas fuscovaginae ICMP 5940
GCF_000467125.1	Vibrio proteolyticus NBRC 13287
GCF_000467935.1	Peptostreptococcaceae bacterium oral taxon 113 str. W5053
GCF_000468015.1	Ruminococcus callidus ATCC 27760
GCF_000468055.1	Treponema lecithinolyticum ATCC 700332
GCF_000468475.2	Actinomadura madurae LIID-AJ290
GCF_000468495.1	Desulfovibrio gigas DSM 1382 = ATCC 19364
GCF_000468535.1	Peptoniphilus sp. ChDC B134
GCF_000468615.2	Cellulophaga baltica 18
GCF_000468755.1	Olsenella profusa F0195
GCF_000468855.1	Coriobacteriaceae bacterium BV3Ac1
GCF_000469135.1	Bacillus sp. SB49
GCF_000469155.1	Candidatus Micropelagos thuwalensis
GCF_000469325.1	Lactobacillus shenzhenensis LY-73
GCF_000469345.1	Eubacterium ramulus ATCC 29099
GCF_000469445.2	Oscillibacter sp. KLE 1745
GCF_000469465.1	Gemella bergeriae ATCC 700627
GCF_000469485.1	Leifsonia aquatica ATCC 14665
GCF_000469545.1	Mitsuokella sp. oral taxon 131 str. W9106
GCF_000469585.1	Chrysiogenes arsenatis DSM 11915
GCF_000469625.2	Clostridium intestinale URNW
GCF_000469665.2	Holospora obtusa F1
GCF_000470655.1	Halorhabdus tiamatea SARL4B
GCF_000470775.1	Leifsonia xyli subsp. cynodontis DSM 46306
GCF_000471025.2	Chlamydia gallinacea 08-1274/3
GCF_000471045.1	actinobacterium LLX17
GCF_000471625.1	Psychrobacter aquaticus CMS 56
GCF_000471645.1	Candidatus Schmidhempelia bombi str. Bimp
GCF_000471965.1	Blattabacterium sp. (Nauphoeta cinerea)
GCF_000472185.1	Rhodobacteraceae bacterium HIMB11
GCF_000472285.1	Desulfuromonas sp. TF
GCF_000472385.1	Bradyrhizobium sp. ARR65
GCF_000472425.1	Bradyrhizobium sp. Tv2a-2
GCF_000472485.1	Pontibacter actiniarum DSM 19842
GCF_000472505.1	Luteimonas sp. J29
GCF_000472605.1	Candidatus Pelagibacter ubique HTCC8051
GCF_000472665.1	Acetobacterium dehalogenans DSM 11527
GCF_000472805.1	Desulfosarcina sp. BuS5
GCF_000472865.1	Bradyrhizobium elkanii WSM2783
GCF_000472905.1	Alicyclobacillus pomorum DSM 14955
GCF_000473085.1	Azorhizobium doebereinerae UFLA1-100
GCF_000473125.1	Bradyrhizobium genosp. SA-4 str. CB756
GCF_000473145.1	Leisingera daeponensis DSM 23529
GCF_000473205.1	Pseudophaeobacter arcticus DSM 23566
GCF_000473225.1	Sedimentitalea nanhaiensis DSM 24252
GCF_000473245.1	Bacillus infantis NRRL B-14911
GCF_000473305.1	Bacteroidales bacterium CF
GCF_000473365.1	Adhaeribacter aquaticus DSM 16391
GCF_000473895.1	Rubidibacter lacunae KORDI 51-2
GCF_000473955.1	Coprobacter fastidiosus NSB1
GCF_000473995.1	Clostridium saccharobutylicum DSM 13864
GCF_000474235.1	Halarchaeum acidiphilum MH1-52-1
GCF_000474745.1	Chitinivibrio alkaliphilus ACht1
GCF_000474945.1	Solimonas soli DSM 21787
GCF_000475255.1	Marinobacter sp. ES-1
GCF_000475415.1	Halomonas sp. PBN3
GCF_000477415.1	Mycoplasma parvum str. Indiana
GCF_000477435.1	Candidatus Symbiobacter mobilis CR
GCF_000477555.1	Leifsonia rubra CMS 76R
GCF_000478195.2	Lyngbya aestuarii BL J
GCF_000478585.1	Thiomicrorhabdus sp. Kp2
GCF_000478685.1	Candidatus Photodesmus katoptron Akat1
GCF_000478785.1	Deinococcus wulumuqiensis R13
GCF_000478885.1	Adlercreutzia equolifaciens DSM 19450
GCF_000478905.1	Candidatus Pantoea carbekii
GCF_000478965.1	Megasphaera sp. BV3C16-1
GCF_000478985.1	Peptoniphilus sp. BV3C26
GCF_000479045.1	Cetobacterium somerae ATCC BAA-474
GCF_000480335.1	Bacillus megaterium MSP20.1
GCF_000482245.1	Leptolyngbya sp. Heron Island J
GCF_000482325.1	Bacillus sp. UNC438CL73TsuS30
GCF_000482385.1	Nocardia sp. CNY236
GCF_000482465.1	Runella limosa DSM 17973
GCF_000482485.1	Paucisalibacillus globulus DSM 18846
GCF_000482545.1	Arthrobacter sp. 35W
GCF_000482705.1	Glycomyces arizonensis DSM 44726
GCF_000482725.1	Psychromonas arctica DSM 14288
GCF_000482785.1	Derxia gummosa DSM 723
GCF_000482805.1	Deinococcus murrayi DSM 11303
GCF_000482845.1	Anaerobiospirillum succiniciproducens DSM 6400
GCF_000482865.1	Actinokineospora inagensis DSM 44258
GCF_000483025.1	delta proteobacterium PSCGC 5451
GCF_000483125.1	Atopobium fossor DSM 15642
GCF_000483165.1	Acholeplasma multilocale ATCC 49900
GCF_000483485.1	Thiomicrorhabdus chilensis DSM 12352
GCF_000484505.1	Clostridium autoethanogenum DSM 10061
GCF_000484535.1	Gloeobacter kilaueensis JS1
GCF_000484595.1	Sporosarcina sp. EUR3 2.2.2
GCF_000484635.1	Comamonas badia DSM 17552
GCF_000485555.1	Mycoplasma salivarium ATCC 23064
GCF_000485815.1	Synechococcus sp. NKBG15041c
GCF_000485905.1	Spiribacter curvatus
GCF_000487995.1	Mucispirillum schaedleri ASF457
GCF_000488195.1	Acinetobacter gyllenbergii NIPH 230
GCF_000488215.1	Acinetobacter nectaris CIP 110549
GCF_000488255.1	Acinetobacter indicus CIP 110367
GCF_000488275.1	Acinetobacter brisouii CIP 110357
GCF_000488855.1	Eubacterium brachy ATCC 33089
GCF_000488995.1	Moniliophthora roreri MCA 2997
GCF_000492175.1	Firmicutes bacterium ASF500
GCF_000493735.1	Carnobacterium inhibens subsp. gilichinskyi
GCF_000493885.1	Chlamydia suis MD56
GCF_000494755.1	Actinoplanes friuliensis DSM 7358
GCF_000495255.1	Wheat blue dwarf phytoplasma
GCF_000495435.3	Youngiibacter fragilis 232.1
GCF_000495475.1	Candidatus Halobonum tyrrellensis G22
GCF_000495505.1	Campylobacter fetus subsp. testudinum 03-427
GCF_000495815.1	Asticcacaulis sp. AC466
GCF_000495855.1	Asticcacaulis sp. YBE204
GCF_000495935.2	Elizabethkingia anophelis NUHP1
GCF_000496075.1	Lutibaculum baratangense AMV1
GCF_000496475.1	Betaproteobacteria bacterium MOLA814
GCF_000496595.1	Candidatus Liberibacter americanus str. Sao Paulo
GCF_000496735.2	Methyloglobulus morosus KoM1
GCF_000496755.2	Serratia sp. DD3
GCF_000496835.1	Thalassobacillus devorans MSP14
GCF_000496855.1	Sediminibacillus halophilus NSP9.3
GCF_000497045.1	Kalmanozyma brasiliensis GHG001
GCF_000497205.1	Saccharopolyspora rectivirgula DSM 43747
GCF_000497245.1	Sporolactobacillus laevolacticus DSM 442
GCF_000497405.1	Streptomycetaceae bacterium MP113-05
GCF_000497425.1	Streptomyces niveus NCIMB 11891
GCF_000497445.1	Streptomyces roseochromogenus subsp. oscitans DS 12.976
GCF_000497755.1	Aliihoeflea sp. 2WW
GCF_000498295.1	Vagococcus lutrae LBD1
GCF_000498355.1	Clostridium sp. Ade.TY
GCF_000498475.1	Flavobacterium cauense R2A-7
GCF_000498495.1	Flavobacterium enshiense DK69
GCF_000498575.2	Pseudomonas taeanensis MS-3
GCF_000498955.2	Lactobacillus fabifermentans DSM 21115
GCF_000499525.1	[Clostridium] dakarense
GCF_000499765.1	Methanobacterium sp. MB1
GCF_000499785.1	Bacteroides neonati
GCF_000500045.1	Borrelia persica No12
GCF_000500065.1	Borrelia hispanica CRI
GCF_000500935.1	Spiroplasma apis B31
GCF_000503775.1	Brevibacillus panacihumi W25
GCF_000503895.1	Hyphomicrobium nitrativorans NL23
GCF_000504125.1	Enterococcus mundtii QU 25
GCF_000504145.1	Bacillus cihuensis
GCF_000504165.1	Bacillus sp. FJAT-14578
GCF_000504185.2	Rhodobacteraceae bacterium PD-2
GCF_000504205.1	Methanolobus tindarius DSM 2278
GCF_000504225.1	Candidatus Pelagibacter ubique HIMB083
GCF_000504245.1	Amycolatopsis halophila YIM 93223
GCF_000504285.1	Actinospica robiniae DSM 44927
GCF_000504425.1	Rhodopseudomonas palustris JSC-3b
GCF_000505545.1	Kurthia huakuii LAM0618
GCF_000506865.1	Pelistega indica
GCF_000507245.1	Salinispira pacifica
GCF_000507465.1	Kwoniella mangroviensis CBS 8507
GCF_000507845.1	Helicobacter macacae MIT 99-5501
GCF_000507865.1	Helicobacter canis NCTC 12740
GCF_000508165.1	Marinomonas profundimaris
GCF_000508185.1	Sphingobium sp. C100
GCF_000508225.1	Ehrlichia muris AS145
GCF_000508245.1	Mycoplasma ovis str. Michigan
GCF_000508325.2	Bacillus vireti LMG 21834
GCF_000509225.1	alpha proteobacterium Mf 1.05b.01
GCF_000509365.1	Helicobacter fennelliae MRY12-0050
GCF_000509405.1	Tenacibaculum maritimum NCIMB 2154
GCF_000510265.1	Candidatus Endolissoclinum faulkneri L5
GCF_000510425.1	Eubacterium nodatum ATCC 33099
GCF_000510645.1	Thermicanus aegyptius DSM 12793
GCF_000510805.1	Ignatzschineria larvae DSM 13226
GCF_000511135.2	Microbispora sp. ATCC PTA-5024
GCF_000511175.1	Sediminibacterium salmoneum NBRC 103935
GCF_000511305.1	Rhodococcus pyridinivorans SB3094
GCF_000511355.1	Leisingera methylohalidivorans DSM 14336
GCF_000511385.1	Phaeobacter gallaeciensis DSM 26640
GCF_000511405.1	Paenibacillus larvae subsp. larvae DSM 25430
GCF_000511655.1	Psychrobacter sp. TB15
GCF_000511775.1	Bacteroides pyogenes JCM 10003
GCF_000511875.1	Gammaproteobacteria bacterium MOLA455
GCF_000511935.2	Zhouia amylolytica AD3
GCF_000511955.1	[Clostridium] ultunense DSM 10521
GCF_000512205.2	Sphingomonas sanxanigenens DSM 19645 = NX02
GCF_000512235.1	Syntrophorhabdus aromaticivorans UI
GCF_000512355.1	Legionella oakridgensis ATCC 33761 = DSM 21215
GCF_000512565.1	Kwoniella dejecticola CBS 10117
GCF_000512585.1	Kwoniella bestiolae CBS 10118
GCF_000512605.1	Kwoniella pini CBS 10737
GCF_000512735.1	Thermocrinis ruber
GCF_000512895.1	Dehalobacter restrictus DSM 9455
GCF_000512915.1	Barnesiella viscericola DSM 18177
GCF_000513095.1	Bacillus wakoensis JCM 9140
GCF_000513115.1	Bacillus hemicellulosilyticus JCM 9152
GCF_000513135.1	Bacillus akibai JCM 9157
GCF_000513215.1	Serratia marcescens subsp. marcescens Db11
GCF_000513275.1	Paenibacillus gorillae
GCF_000513295.1	Magnetospirillum gryphiswaldense MSR-1 v2
GCF_000513315.1	Methanobrevibacter arboriphilus ANOR1
GCF_000513475.1	Candidatus Babela massiliensis
GCF_000513775.1	Treponema phagedenis 4A
GCF_000513955.1	Pseudoxanthomonas suwonensis J47
GCF_000513975.1	Paracoccus sp. J55
GCF_000515115.1	Nocardiopsis sp. CNT312
GCF_000515255.1	Rhodovibrio salinarum DSM 9154
GCF_000515275.1	Methylophilus sp. 5
GCF_000515315.1	Asinibacterium sp. OR53
GCF_000515335.1	Cohnella panacarvi Gsoil 349
GCF_000515395.1	Jiangella gansuensis DSM 44835
GCF_000516515.1	Chloroflexus sp. Y-396-1
GCF_000516535.1	Leptotrichia goodfellowii DSM 19756
GCF_000516555.1	Afipia sp. P52-10
GCF_000516985.1	Pestalotiopsis fici W106-1
GCF_000517025.1	Halonatronum saccharophilum DSM 13868
GCF_000517065.1	Alkaliflexus imshenetskii DSM 15055
GCF_000517085.1	Saccharicrinis fermentans DSM 9555 = JCM 21142
GCF_000517105.1	Fischerella sp. PCC 9605
GCF_000517385.1	Bacillus boroniphilus JCM 21738
GCF_000517425.1	Sodalis praecaptivus
GCF_000517445.1	Thermococcus paralvinellae
GCF_000517545.1	Bacteroides reticulotermitis JCM 10512
GCF_000517565.1	Desulfurella acetivorans A63
GCF_000517605.1	Rhizobium leguminosarum bv. trifolii WSM1689
GCF_000517625.1	Halostagnicola larsenii XH-48
GCF_000518205.1	Facklamia sourekii ATCC 700629
GCF_000518225.1	Helicobacter pametensis ATCC 51478
GCF_000518245.1	Brachyspira alvinipulli ATCC 51933
GCF_000518265.1	Actinomadura oligospora ATCC 43269
GCF_000518285.1	Entomoplasma lucivorax ATCC 49196
GCF_000518305.1	Mycoplasma imitans ATCC 51306
GCF_000518365.1	Rhodospirillales bacterium URHD0088
GCF_000518485.1	Olleya marilimosa CAM030
GCF_000518585.1	Agrobacterium larrymoorei AF3.10 = ATCC 51759
GCF_000518665.1	Microvirga flocculans ATCC BAA-817
GCF_000518685.1	Eubacterium xylanophilum ATCC 35991
GCF_000518705.1	Shewanella colwelliana ATCC 39565
GCF_000518745.1	Phaseolibacter flectens ATCC 12775
GCF_000518765.1	Ruminococcus flavefaciens ATCC 19208
GCF_000518785.1	Rhizobium selenitireducens ATCC BAA-1503
GCF_000518805.1	Shewanella waksmanii ATCC BAA-643
GCF_000518825.1	Mesoplasma chauliocola ATCC 49578
GCF_000518865.1	Bacillus sp. J37
GCF_000518985.1	Chelativorans sp. J32
GCF_000519005.1	Nocardioides sp. J54
GCF_000519045.1	Dechloromonas agitata is5
GCF_000519105.1	Butyricimonas virosa DSM 23226
GCF_000519125.1	Desulfocurvus vexinensis DSM 17965
GCF_000519205.1	Amycolatopsis taiwanensis DSM 45107
GCF_000519265.1	Desulfonatronum lacustre DSM 10312
GCF_000519325.1	Patulibacter minatonensis DSM 18081
GCF_000519345.1	Deinococcus pimensis DSM 21231
GCF_000520015.2	Chania multitudinisentens RB-25
GCF_000520495.1	Arthrobacter sp. H14
GCF_000520515.1	Arthrobacter sp. H20
GCF_000520555.1	Arthrobacter sp. Br18
GCF_000520595.1	Arthrobacter sp. H5
GCF_000520615.1	Roseivivax marinus
GCF_000520955.1	Aquimarina pacifica
GCF_000520995.1	Aquimarina macrocephali JAMB N27
GCF_000521175.1	Aphanizomenon flos-aquae NIES-81
GCF_000521465.1	[Clostridium] straminisolvens JCM 21531
GCF_000521485.1	Gracilibacillus boraciitolerans JCM 21714
GCF_000521505.1	Advenella mimigardefordensis DPN7
GCF_000521565.1	Buchnera aphidicola str. G002 (Myzus persicae)
GCF_000521785.1	Roseivivax halodurans JCM 10272
GCF_000521805.1	Marinomonas ushuaiensis DSM 15871
GCF_000521865.1	Roseivivax isoporae LMG 25204
GCF_000522465.1	Arcobacter cibarius LMG 21996
GCF_000523235.1	Nocardia nova SH22a
GCF_000523275.1	Lebetimonas sp. JH292
GCF_000523435.1	Bipolaris zeicola 26-R-13
GCF_000523455.1	Bipolaris oryzae ATCC 44560
GCF_000524475.1	Tomitella biformata AHU 1821
GCF_000524555.1	Mycoplasma bovoculi M165/69
GCF_000525635.1	Kutzneria albida DSM 43870
GCF_000525655.1	Corynebacterium falsenii DSM 44353
GCF_000525675.1	Bdellovibrio bacteriovorus W
GCF_000525775.1	Mogibacterium timidum ATCC 33093
GCF_000525795.1	Listeria aquatica FSL S10-1188
GCF_000525875.1	Listeria floridensis FSL S10-1187
GCF_000525915.1	Brochothrix campestris FSL F6-1037
GCF_000525955.1	Listeria weihenstephanensis FSL R9-0317
GCF_000525975.1	Listeria rocourtiae FSL F6-920
GCF_000526155.1	Deferrisoma camini S3R1
GCF_000526175.1	Xanthobacter sp. 126
GCF_000526195.1	Hippea sp. KM1
GCF_000526215.1	Nocardia sp. BMG51109
GCF_000526235.1	Acholeplasma granularum ATCC 19168
GCF_000526255.1	Verrucomicrobia bacterium LP2A
GCF_000526275.1	Oceanicola sp. HL-35
GCF_000526315.1	Methylopila sp. 73B
GCF_000526375.1	Aminiphilus circumscriptus DSM 16581
GCF_000526395.1	Aminobacterium mobile DSM 12262
GCF_000526415.1	bacterium JKG1 Bacteria.
GCF_000526435.1	Caldicoprobacter oshimai DSM 21659
GCF_000526455.1	Desulfovibrio cf. magneticus IFRC170
GCF_000526495.1	[Clostridium] josui JCM 17888
GCF_000526515.1	Cellulomonas sp. KRMCY2
GCF_000526595.1	Cellulosimicrobium cellulans J36
GCF_000526635.1	Aminobacter sp. J41
GCF_000526655.1	Bacillus ginsengihumi J57
GCF_000526675.1	Atopobacter phocae ATCC BAA-285
GCF_000526695.1	Carnimonas nigrificans ATCC BAA-78
GCF_000526715.1	Hydrogenovibrio kuenenii DSM 12350
GCF_000526735.1	Ruminococcus gnavus AGR2154
GCF_000526835.1	Entomoplasma somnilux ATCC 49194
GCF_000526855.1	Entomoplasma luminosum ATCC 49195
GCF_000526915.1	Mycobacterium genavense ATCC 51234
GCF_000526955.1	Mycoplasma cricetuli ATCC 35279
GCF_000527075.1	Saccharomonospora sp. CNQ490
GCF_000527095.1	Methylosarcina lacus LW14
GCF_000527135.1	Methyloversatilis discipulorum
GCF_000527155.1	Haloglycomyces albus DSM 45210
GCF_000527695.1	Commensalibacter sp. MX01
GCF_000527765.1	Bipolaris victoriae FI3
GCF_000531125.1	Candidatus Contendobacter odensis Run_B_J11
GCF_000550765.1	Komagataeibacter xylinus E25
GCF_000550785.1	Corynebacterium casei LMG S-19264
GCF_000550805.1	Corynebacterium vitaeruminis DSM 20294
GCF_000559025.1	Luteimonas huabeiensis HB2
GCF_000559085.1	Mycolicibacterium aromaticivorans JS19b1 = JCM 16368
GCF_000564855.1	Actinokineospora spheciospongiae
GCF_000565015.1	Porphyromonas catoniae ATCC 51270
GCF_000565175.1	Spiroplasma culicicola AES-1
GCF_000565195.1	Spiroplasma mirum ATCC 29335
GCF_000565215.1	Spiroplasma sabaudiense Ar-1343
GCF_000565345.1	Salinivibrio costicola subsp. costicola ATCC 33508 = LMG 11651
GCF_000566685.1	Dyadobacter tibetensis Y620-1
GCF_000568255.1	Kutzneria sp. 744
GCF_000568555.1	Mesorhizobium sp. NBIMC_P2-C3
GCF_000568735.2	Borrelia parkeri SLO
GCF_000568755.1	Borrelia coriaceae Co53
GCF_000568815.1	Sulfurospirillum multivorans DSM 12446
GCF_000576305.1	Paenibacillus pini JCM 16418
GCF_000576405.1	Xylella taiwanensis
GCF_000576425.1	Brachybacterium phenoliresistens
GCF_000576555.1	Hymenobacter swuensis DY53
GCF_000576575.1	Intrasporangium chromatireducens Q5-1
GCF_000576595.1	Intrasporangium oryzae NRRL B-24470
GCF_000576635.1	Skermanella stibiiresistens SB22
GCF_000577555.1	Corynebacterium jeddahense
GCF_000577895.1	Clostridium bornimense
GCF_000582685.1	[Scytonema hofmanni] UTEX 2349
GCF_000582705.1	Microbacterium sp. C448
GCF_000582785.1	Candidatus Blastococcus massiliensis AP3
GCF_000582985.1	Colletotrichum fioriniae PJ7
GCF_000583135.1	Thioalkalivibrio sp. HK1
GCF_000583655.1	Lactobacillus farraginis DSM 18382 = JCM 14108
GCF_000583695.1	Lactobacillus composti DSM 18527 = JCM 14202
GCF_000583775.1	Campylobacter coli RM4661
GCF_000583875.1	Chlamydia avium 10DC88
GCF_000585155.1	Arcobacter faecis
GCF_000585195.1	Arcobacter lanthieri
GCF_000585215.1	Imhoffiella purpurea
GCF_000585235.1	Nitrincola nitratireducens
GCF_000585255.1	Alkalibacterium sp. AK22
GCF_000585335.1	Cloacibacillus evryensis DSM 19522
GCF_000585355.1	Prevotella oryzae DSM 17970
GCF_000585375.1	Cryptosporangium arvum DSM 44712
GCF_000585395.1	Saccharibacillus sacchari DSM 19268
GCF_000585415.1	Sphingomonas jaspsi DSM 18422
GCF_000585495.1	Thermococcus nautili
GCF_000585515.1	Cladophialophora yegresii CBS 114405
GCF_000585535.1	Cladophialophora psammophila CBS 110553
GCF_000585565.1	Capronia epimyces CBS 606.96
GCF_000585585.1	Capronia coronata CBS 617.96
GCF_000585625.1	Aquamicrobium defluvii
GCF_000586015.1	Candidatus Synechococcus spongiarum SH4
GCF_000586555.1	Sporosarcina sp. D27
GCF_000590475.1	Pseudomonas stutzeri
GCF_000590555.1	Corynebacterium argentoratense DSM 44202
GCF_000590885.1	Erwinia mallotivora
GCF_000590925.1	Roseibacterium elongatum DSM 19469
GCF_000591055.1	Natronomonas moolapensis 8.8.11
GCF_000591415.1	Cobetia crustatorum
GCF_000597725.1	Sulfurospirillum arcachonense DSM 9755
GCF_000597805.1	Campylobacter corcagiensis
GCF_000597865.1	Peptoclostridium acidaminophilum DSM 3953
GCF_000598065.1	Paenibacillus darwinianus
GCF_000599865.1	Deinococcus phoenicis
GCF_000599885.1	Pantoea sp. IMH
GCF_000599985.1	Gilliamella apicola
GCF_000600005.1	Snodgrassella alvi wkB2
GCF_000600335.2	Rubellimicrobium mesophilum DSM 19309
GCF_000600975.2	Limimaricola hongkongensis DSM 17492
GCF_000601455.1	Fervidicella metallireducens AeB
GCF_000601485.1	Chondromyces apiculatus DSM 436
GCF_000603945.1	Actinotalea ferrariae CF5-4
GCF_000611645.1	Monoraphidium neglectum
GCF_000611675.1	Flavobacterium succinicans LMG 10402
GCF_000612055.1	Trueperella pyogenes
GCF_000612125.1	Brevibacillus agri 5-2
GCF_000612225.1	Paenibacillus ehimensis A2
GCF_000612445.1	Lactobacillus sucicola DSM 21376 = JCM 15457
GCF_000612485.1	Bordetella holmesii ATCC 51541
GCF_000612605.1	Pantoea septica
GCF_000612625.1	Bacillus jeddahensis
GCF_000612665.1	Bacillus dielmoensis
GCF_000612685.1	Castellaniella defragrans 65Phen
GCF_000612805.1	Bacillus ndiopicus
GCF_000612825.1	Mycolicibacterium mageritense DSM 44476 = CIP 104973
GCF_000612845.1	Clostridium ihumii AP5
GCF_000612865.1	Oceanobacillus picturae
GCF_000613185.1	Mycolicibacterium cosmeticum
GCF_000613245.1	Mycobacterium asiaticum DSM 44297
GCF_000613285.1	Acetobacter papayae JCM 25143
GCF_000613345.1	Prevotella disiens JCM 6334 = ATCC 29426
GCF_000613505.1	Prevotella oris DSM 18711 = JCM 12252
GCF_000613785.1	Prevotella oulorum JCM 14966
GCF_000613805.1	Bacteroides paurosaccharolyticus JCM 15092
GCF_000613845.1	Asaia astilbis JCM 15831
GCF_000613925.1	Prevotella histicola JCM 15637 = DNF00424
GCF_000614025.1	Prevotella aurantiaca JCM 15754
GCF_000614065.1	Prevotella dentasini JCM 15908
GCF_000614105.1	Prevotella micans DSM 21469 = JCM 16134
GCF_000614145.1	Bacteroides faecichinchillae JCM 17102
GCF_000614205.1	Prevotella saccharolytica JCM 17484
GCF_000614355.1	Porphyromonas cangingivalis JCM 15983
GCF_000614585.1	Porphyromonas gingivicanis JCM 15907
GCF_000614975.1	Shewanella marina JCM 15074
GCF_000615445.1	Lactobacillus hamsteri DSM 5661 = JCM 6256
GCF_000615765.1	Lactobacillus equi DSM 15833 = JCM 10991
GCF_000615805.1	Lactobacillus fuchuensis DSM 14340 = JCM 11249
GCF_000615845.1	Lactobacillus hayakitensis DSM 18933 = JCM 14209
GCF_000615905.1	Lactobacillus nodensis DSM 19682 = JCM 14932 = NBRC 107160
GCF_000615945.1	Bacillus mannanilyticus JCM 10596
GCF_000615975.1	Nitratireductor aquibiodomus NL21 = JCM 21793
GCF_000616095.1	Sneathiella glossodoripedis JCM 23214
GCF_000617865.1	Acidomonas methanolica NBRC 104435
GCF_000617925.1	Methylobacillus glycogenes JCM 2850
GCF_000619805.1	Sulfurihydrogenibium subterraneum DSM 15120
GCF_000619845.1	Alkanindiges illinoisensis DSM 15370
GCF_000619885.1	Balneatrix alpica DSM 16621
GCF_000619905.2	Nitrosospira briensis C-128
GCF_000619925.1	Treponema sp. C6A8
GCF_000619945.1	Clostridium lundense DSM 17049
GCF_000619965.1	Propionibacteriaceae bacterium P6A17
GCF_000620005.1	Mycoplasma spumans ATCC 19526
GCF_000620025.1	Zymobacter palmae DSM 10491
GCF_000620045.1	Halomonas halodenitrificans DSM 735
GCF_000620065.1	Meiothermus cerbereus DSM 11376
GCF_000620085.1	Marinobacterium jannaschii DSM 6295
GCF_000620105.1	Microvirgula aerodenitrificans DSM 15089
GCF_000620125.1	Clostridiisalibacter paucivorans DSM 22131
GCF_000620145.1	Deefgea rivuli DSM 18356
GCF_000620165.1	Anoxybacillus tepidamans PS2
GCF_000620185.1	Geodermatophilaceae bacterium URHB0062
GCF_000620225.1	Variovorax sp. URHB0020
GCF_000620305.1	Desulfitibacter alkalitolerans DSM 16504
GCF_000620485.1	Dyella japonica UNC79MFTsu3.2
GCF_000620625.1	Mycobacterium sp. URHB0044
GCF_000620645.1	Nocardioides sp. URHA0032
GCF_000620665.1	Sphingomonas sp. URHD0057
GCF_000620685.1	Dongia sp. URHE0060
GCF_000620705.1	Nocardioides sp. URHA0020
GCF_000620725.1	Acidobacteriaceae bacterium URHE0068
GCF_000620765.1	Desulfovermiculus halophilus DSM 18834
GCF_000620785.1	Pseudonocardia acaciae DSM 45401
GCF_000620925.1	Conchiformibius steedae DSM 2580
GCF_000620945.1	[Clostridium] viride DSM 6836
GCF_000620965.1	Campylobacter upsaliensis DSM 5365
GCF_000620985.1	Brochothrix thermosphacta DSM 20171 = FSL F6-1036
GCF_000621005.1	Campylobacter cuniculorum DSM 23162 = LMG 24588
GCF_000621025.1	Brackiella oedipodis DSM 13743
GCF_000621085.1	Mycoplasma gallinarum DSM 19816
GCF_000621125.1	Maribacter antarcticus DSM 21422
GCF_000621145.1	Desulfobulbus elongatus DSM 2908
GCF_000621165.1	Enterovibrio calviensis DSM 14347
GCF_000621185.1	Franconibacter pulveris DSM 19144
GCF_000621325.1	Thiothrix lacustris DSM 21227
GCF_000621405.1	Lachnospiraceae bacterium AC3007
GCF_000621425.1	Lachnospiraceae bacterium AB2028
GCF_000621445.1	Bacillus bogoriensis ATCC BAA-922
GCF_000621485.1	Alkaliphilus transvaalensis ATCC 700919
GCF_000621525.1	Legionella fairfieldensis ATCC 49588
GCF_000621545.1	Anaerovibrio lipolyticus LB2005
GCF_000621625.1	Crocinitomix catalasitica ATCC 23190
GCF_000621665.1	Rhizobium undicola ORS 992 = ATCC 700741
GCF_000621705.1	Prolixibacter bellariivorans ATCC BAA-1284
GCF_000621725.1	Prevotella brevis ATCC 19188
GCF_000621765.1	Ruminococcaceae bacterium AB4001
GCF_000621805.1	Ruminococcus sp. FC2018
GCF_000621905.1	Lachnospiraceae bacterium NC2004
GCF_000621965.1	Methanobrevibacter wolinii SH
GCF_000621985.1	Lachnospiraceae bacterium V9D3004
GCF_000622025.1	Lachnospiraceae bacterium AD3010
GCF_000622145.1	Paracoccus yeei ATCC BAA-599
GCF_000622165.1	Mycoplasma molare ATCC 27746
GCF_000622185.1	Legionella lansingensis DSM 19556 = ATCC 49751
GCF_000622205.1	Mycoplasma leonicaptivi ATCC 49890
GCF_000622245.1	Fusobacterium perfoetens ATCC 29250
GCF_000622325.1	Sulfitobacter geojensis
GCF_000622345.1	Sulfitobacter mediterraneus KCTC 32188
GCF_000622365.1	Sulfitobacter noctilucae
GCF_000622385.1	Sulfitobacter noctilucicola
GCF_000622405.1	Sulfitobacter donghicola DSW-25 = KCTC 12864 = JCM 14565
GCF_000622425.1	Sulfitobacter guttiformis KCTC 32187
GCF_000622895.1	Herminiimonas sp. CN
GCF_000626635.1	Draconibacterium orientale
GCF_000626675.1	Corynebacterium glyciniphilum AJ 3170
GCF_000632125.1	Sphingobium herbicidovorans NBRC 16415
GCF_000632455.1	Acinetobacter sp. Ver3
GCF_000632495.1	Candidatus Acidianus copahuensis
GCF_000632715.1	Parageobacillus caldoxylosilyticus NBRC 107762
GCF_000632805.1	Dyella jiangningensis
GCF_000632845.1	Ehrlichia sp. HF
GCF_000632985.1	Neorickettsia helminthoeca str. Oregon
GCF_000633215.1	Microbacterium paraoxydans DH1b
GCF_000633415.1	Leucobacter sp. PH1c
GCF_000633935.1	Ectothiorhodospira haloalkaliphila ATCC 51935
GCF_000647675.1	Sulfitobacter pontiacus 3SOLIMAR09
GCF_000647975.1	Actibacterium mucosum KCTC 23349
GCF_000648515.1	Citrobacter freundii CFNIH1
